[07/17 17:34:57] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:36:21] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:37:42] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:39:04] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:40:26] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:41:47] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:43:09] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:44:30] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:45:51] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:47:12] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:48:33] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:49:54] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:51:16] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:52:37] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:53:58] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:55:20] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
